ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class","Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands
201,simple,,,"Banana Walnut Bread",1,0,visible,"Moist banana bread with walnuts.","A rich and flavorful banana bread loaded with crunchy walnuts.",,,taxable,,1,,,0,0,,,,,1,,,5,Bread,,,,,,,,,0,
202,simple,,,"Red Velvet Cake",1,0,visible,"Classic red velvet cake with cream cheese frosting.","Moist and rich red velvet cake layered with silky cream cheese frosting.",,,taxable,,1,,,0,0,,,,,1,,,15,Cake,,,,,,,,,0,
203,simple,,,"Caramel Macchiato",1,0,visible,"Sweet and creamy caramel macchiato.","A delightful blend of espresso, steamed milk, and caramel drizzle.",,,taxable,,1,,,0,0,,,,,1,,,4,Coffee,,,,,,,,,0,
204,simple,,,"Almond Biscotti",1,0,visible,"Crispy almond biscotti.","Perfect for pairing with coffee or tea, these crunchy biscotti are loaded with almonds.",,,taxable,,1,,,0,0,,,,,1,,,3,Cookie,,,,,,,,,0,
205,simple,,,"Mango Pudding",1,0,visible,"Creamy mango pudding.","A smooth and creamy pudding infused with the sweetness of fresh mangoes.",,,taxable,,1,,,0,0,,,,,1,,,4,Pudding,,,,,,,,,0,
206,simple,,,"BBQ Chicken Sandwich",1,0,visible,"Savory BBQ chicken sandwich.","Tender chicken coated in smoky BBQ sauce, served with fresh greens in a sandwich.",,,taxable,,1,,,0,0,,,,,1,,,6,Sandwiches,,,,,,,,,0,
207,simple,,,"Chocolate Lava Cake",1,0,visible,"Decadent molten chocolate cake.","A rich chocolate cake with a gooey molten center.",,,taxable,,1,,,0,0,,,,,1,,,7,Cake,,,,,,,,,0,
208,simple,,,"Espresso Shot",1,0,visible,"Strong and intense espresso shot.","Perfect pick-me-up with rich crema and robust flavor.",,,taxable,,1,,,0,0,,,,,1,,,2,Coffee,,,,,,,,,0,
209,simple,,,"Cranberry Scone",1,0,visible,"Delicious cranberry scone.","Tart cranberries baked into a buttery and crumbly scone.",,,taxable,,1,,,0,0,,,,,1,,,3,Bread,,,,,,,,,0,
210,simple,,,"Peanut Butter Cookie",1,0,visible,"Soft peanut butter cookie.","Rich and creamy peanut butter flavor in every bite.",,,taxable,,1,,,0,0,,,,,1,,,2,Cookie,,,,,,,,,0,
211,simple,,,"Strawberry Pudding",1,0,visible,"Sweet strawberry pudding.","A smooth and creamy pudding made with fresh strawberries.",,,taxable,,1,,,0,0,,,,,1,,,4,Pudding,,,,,,,,,0,
212,simple,,,"Tuna Melt Sandwich",1,0,visible,"Tuna melt sandwich with melted cheese.","A savory combination of tuna salad and melted cheese on bread.",,,taxable,,1,,,0,0,,,,,1,,,6,Sandwiches,,,,,,,,,0,
213,simple,,,"Matcha Milk Tea",1,0,visible,"Refreshing matcha milk tea.","A creamy blend of matcha and sweet milk tea.",,,taxable,,1,,,0,0,,,,,1,,,4,Milk Tea,,,,,,,,,0,
214,simple,,,"Strawberry Milk Tea",1,0,visible,"Fruity strawberry milk tea.","Sweet and creamy with the flavor of fresh strawberries.",,,taxable,,1,,,0,0,,,,,1,,,4,Milk Tea,,,,,,,,,0,
215,simple,,,"Chewy Caramel Candy",1,0,visible,"Soft and chewy caramel candy.","Rich and buttery caramel perfect for satisfying your sweet tooth.",,,taxable,,1,,,0,0,,,,,1,,,2,Candy,,,,,,,,,0,
216,simple,,,"Fruity Gummy Bears",1,0,visible,"Colorful gummy bear candies.","Sweet and fruity gummy bears in assorted flavors.",,,taxable,,1,,,0,0,,,,,1,,,2,Candy,,,,,,,,,0,
217,simple,,,"Vanilla Ice Cream",1,0,visible,"Classic vanilla ice cream.","Smooth and creamy with rich vanilla flavor.",,,taxable,,1,,,0,0,,,,,1,,,5,Ice Cream,,,,,,,,,0,
218,simple,,,"Chocolate Fudge Ice Cream",1,0,visible,"Decadent chocolate fudge ice cream.","Rich chocolate ice cream swirled with chocolate fudge.",,,taxable,,1,,,0,0,,,,,1,,,5,Ice Cream,,,,,,,,,0,
219,simple,,,"Mango Smoothie",1,0,visible,"Refreshing mango smoothie.","A blend of ripe mangoes and creamy yogurt for a tropical treat.",,,taxable,,1,,,0,0,,,,,1,,,4,Smoothie,,,,,,,,,0,
220,simple,,,"Berry Blast Smoothie",1,0,visible,"Sweet and tangy berry smoothie.","A vibrant blend of mixed berries and yogurt.",,,taxable,,1,,,0,0,,,,,1,,,4,Smoothie,,,,,,,,,0,

